text	date	name
ger000038	1803	Äbtissin
ger000038	1803	Mönch
ger000118	1833	Hofrat Fleder
ger000118	1833	Bote
ger000118	1833	Flitt
ger000118	1833	Schlender
ger000118	1833	Knoll
ger000118	1833	Graf Leonard
ger000118	1833	Flora
ger000118	1833	Victor
ger000118	1833	Friedmann
ger000118	1833	Gräfin Adele
ger000118	1833	Marie
ger000286	1825	Elisabeth
ger000286	1825	Frau Elisabeth
ger000286	1825	Merenberg
ger000286	1825	Seyfried von Merenberg
ger000286	1825	Benesch
ger000286	1825	Milota
ger000286	1825	Bertha
ger000286	1825	Zawisch
ger000286	1825	Königin Margarethe
ger000286	1825	Margarethe
ger000286	1825	Königin
ger000286	1825	Rudolf von Habsburg
ger000286	1825	Rudolf
ger000286	1825	Ottokar
ger000286	1825	Bürgermeister von Prag
ger000286	1825	Bürgermeister
ger000286	1825	Füllenstein
ger000286	1825	Diener 
ger000286	1825	Diener 
ger000286	1825	Heinrich von Lichtenstein
ger000286	1825	Lichtenstein
ger000286	1825	Wortführer der Steirer
ger000286	1825	Wortführer der Kärntner
ger000286	1825	Kärntner
ger000286	1825	Bela
ger000286	1825	Abgesandter
ger000286	1825	Abgesandter
ger000286	1825	Kunigunde
ger000286	1825	Kammerfräulein
ger000286	1825	Fräulein
ger000286	1825	Diener 
ger000286	1825	Diener 
ger000286	1825	Burggraf von Nürnberg
ger000286	1825	Frau
ger000286	1825	Ortolf
ger000286	1825	Knecht 
ger000286	1825	von außen
ger000286	1825	außen
ger000286	1825	Hauptmann
ger000286	1825	Frau 
ger000286	1825	Schweizersoldat
ger000286	1825	Schweizer
ger000286	1825	Ottokar von Hornek
ger000286	1825	Paltram
ger000286	1825	Pettauer
ger000286	1825	Knappe/Diener
ger000286	1825	Bürger
ger000286	1825	Herold
ger000286	1825	Diener 
ger000286	1825	Bote
ger000286	1825	Diener 
ger000286	1825	Küster
ger000286	1825	Knecht 
ger000286	1825	Diener 
ger000286	1825	Es stürzt Einer herein
ger000286	1825	Emerberg
ger000286	1825	Knecht 
ger000107	1889	Frau Hebenstreit
ger000107	1889	Frau Heinecke
ger000107	1889	Heinecke
ger000107	1889	Robert
ger000107	1889	Auguste
ger000107	1889	Michalski
ger000107	1889	Wilhelm
ger000107	1889	Alma
ger000107	1889	Trast
ger000107	1889	Curt
ger000107	1889	Mühlingk
ger000107	1889	Frau Mühlingk
ger000107	1889	Lenore
ger000107	1889	Lothar
ger000107	1889	Hugo
ger000387	1924	Olivier
ger000387	1924	Rekrut
ger000387	1924	Andreas
ger000387	1924	Pankraz
ger000387	1924	Anton
ger000387	1924	Arzt
ger000387	1924	Sigismund
ger000387	1924	Julian
ger000387	1924	Simon
ger000387	1924	König
ger000387	1924	Pförtner
ger000387	1924	Junger Kämmerer
ger000387	1924	Junger Bruder
ger000387	1924	Bettler
ger000387	1924	Grossalmosenier
ger000387	1924	Woiwod
ger000387	1924	Bäuerin
ger000387	1924	Kastellan
ger000387	1924	Beichtiger
ger000387	1924	Kämmerer
ger000387	1924	Stallmeister
ger000387	1924	Höfling
ger000387	1924	Graf Adam
ger000387	1924	Adam
ger000387	1924	Höfling
ger000387	1924	Reiter
ger000387	1924	Reiterbub
ger000387	1924	Bub
ger000387	1924	Jeronim
ger000387	1924	Indrik
ger000387	1924	Aron
ger000411	1836	Lorenz
ger000411	1836	Dünne
ger000411	1836	Guttenberg
ger000411	1836	Bertha
ger000411	1836	Sebaldus
ger000411	1836	Rieffe
ger000411	1836	Fust
ger000411	1836	Peter
ger000411	1836	Beildeck
ger000411	1836	Käthchen
ger000411	1836	Käthe
ger000411	1836	Barbara
ger000411	1836	Else
ger000411	1836	Klara
ger000411	1836	Humery
ger000710	1903	Grete
ger000710	1903	Hadwiga
ger000710	1903	Solm
ger000275	1795	Abellino
ger000275	1795	Matteo
ger000275	1795	Doge
ger000275	1795	Dandolo
ger000275	1795	Canari
ger000275	1795	Iduella
ger000275	1795	Rosamunde
ger000275	1795	Flodoardo
ger000275	1795	Parozzi
ger000275	1795	Memmo
ger000275	1795	Falieri
ger000275	1795	Contarino
ger000275	1795	Tolomeo
ger000275	1795	Diener
ger000275	1795	Senator
ger000254	1845	Sylva
ger000254	1845	Malström
ger000254	1845	Monaldeschi
ger000254	1845	Brahe
ger000254	1845	Schnure
ger000254	1845	Santinelli
ger000254	1845	Christine
ger000254	1845	Diener 
ger000254	1845	Rosenhane
ger000071	1906	Elfriede
ger000071	1906	Casti Piani
ger000071	1906	Herr König
ger000071	1906	Lisiska
ger000722	1759	Abel
ger000722	1759	Zilla
ger000722	1759	Kain
ger000722	1759	Eva
ger000722	1759	Adam
ger000360	1816	Elvire
ger000360	1816	Jerta
ger000360	1816	Otto
ger000360	1816	Kolbert
ger000360	1816	Holm
ger000360	1816	Hugo
ger000360	1816	Valeros
ger000042	1847	De Silva
ger000042	1847	Jochai
ger000042	1847	Diener 
ger000042	1847	Uriel
ger000042	1847	Santos
ger000042	1847	Manasse
ger000042	1847	Simon
ger000042	1847	Judith
ger000042	1847	Ruben
ger000042	1847	Esther
